2019-03-19 22:11:16.992849 : Step: 4200/111690, accuracy: 0.877256, cls loss: 0.338304, bbox loss: 0.079482,Landmark loss :0.082286,L2 loss: 0.016949, Total Loss: 0.436137 ,lr:0.001000 
2019-03-19 22:11:30.776799 : Step: 4300/111690, accuracy: 0.906367, cls loss: 0.366002, bbox loss: 0.078400,Landmark loss :0.070970,L2 loss: 0.016954, Total Loss: 0.457641 ,lr:0.001000 
2019-03-19 22:11:44.363789 : Step: 4400/111690, accuracy: 0.907063, cls loss: 0.327107, bbox loss: 0.084613,Landmark loss :0.073052,L2 loss: 0.016964, Total Loss: 0.422905 ,lr:0.001000 
2019-03-19 22:11:57.884807 : Step: 4500/111690, accuracy: 0.882784, cls loss: 0.406102, bbox loss: 0.064810,Landmark loss :0.083936,L2 loss: 0.016973, Total Loss: 0.497449 ,lr:0.001000 
2019-03-19 22:12:11.572367 : Step: 4600/111690, accuracy: 0.911877, cls loss: 0.332034, bbox loss: 0.083932,Landmark loss :0.071704,L2 loss: 0.016965, Total Loss: 0.426817 ,lr:0.001000 
2019-03-19 22:12:25.415403 : Step: 4700/111690, accuracy: 0.916667, cls loss: 0.308514, bbox loss: 0.073790,Landmark loss :0.072393,L2 loss: 0.016971, Total Loss: 0.398576 ,lr:0.001000 
2019-03-19 22:12:39.704256 : Step: 4800/111690, accuracy: 0.912879, cls loss: 0.351794, bbox loss: 0.067639,Landmark loss :0.079277,L2 loss: 0.016976, Total Loss: 0.442228 ,lr:0.001000 
2019-03-19 22:12:53.653858 : Step: 4900/111690, accuracy: 0.931900, cls loss: 0.286148, bbox loss: 0.078814,Landmark loss :0.083779,L2 loss: 0.016981, Total Loss: 0.384426 ,lr:0.001000 
2019-03-19 22:13:07.652254 : Step: 5000/111690, accuracy: 0.943262, cls loss: 0.287767, bbox loss: 0.082752,Landmark loss :0.081442,L2 loss: 0.016984, Total Loss: 0.386848 ,lr:0.001000 
2019-03-19 22:13:21.428330 : Step: 5100/111690, accuracy: 0.890909, cls loss: 0.414033, bbox loss: 0.072832,Landmark loss :0.074003,L2 loss: 0.016994, Total Loss: 0.504445 ,lr:0.001000 
2019-03-19 22:13:35.622835 : Step: 5200/111690, accuracy: 0.914815, cls loss: 0.386206, bbox loss: 0.070226,Landmark loss :0.069443,L2 loss: 0.017007, Total Loss: 0.473047 ,lr:0.001000 
2019-03-19 22:13:49.567587 : Step: 5300/111690, accuracy: 0.947955, cls loss: 0.246137, bbox loss: 0.078329,Landmark loss :0.063683,L2 loss: 0.017001, Total Loss: 0.334144 ,lr:0.001000 
2019-03-19 22:14:03.679348 : Step: 5400/111690, accuracy: 0.906475, cls loss: 0.333141, bbox loss: 0.083308,Landmark loss :0.081711,L2 loss: 0.017011, Total Loss: 0.432661 ,lr:0.001000 
2019-03-19 22:14:17.485088 : Step: 5500/111690, accuracy: 0.963100, cls loss: 0.193801, bbox loss: 0.085926,Landmark loss :0.062134,L2 loss: 0.017011, Total Loss: 0.284841 ,lr:0.001000 
2019-03-19 22:14:31.275106 : Step: 5600/111690, accuracy: 0.904059, cls loss: 0.381621, bbox loss: 0.074216,Landmark loss :0.060832,L2 loss: 0.017018, Total Loss: 0.466162 ,lr:0.001000 
2019-03-19 22:14:45.420940 : Step: 5700/111690, accuracy: 0.903915, cls loss: 0.299026, bbox loss: 0.074031,Landmark loss :0.058922,L2 loss: 0.017026, Total Loss: 0.382529 ,lr:0.001000 
2019-03-19 22:14:59.158136 : Step: 5800/111690, accuracy: 0.884615, cls loss: 0.403677, bbox loss: 0.074949,Landmark loss :0.064770,L2 loss: 0.017028, Total Loss: 0.490565 ,lr:0.001000 
2019-03-19 22:15:12.777567 : Step: 5900/111690, accuracy: 0.901887, cls loss: 0.323731, bbox loss: 0.069679,Landmark loss :0.062601,L2 loss: 0.017023, Total Loss: 0.406894 ,lr:0.001000 
2019-03-19 22:15:26.557632 : Step: 6000/111690, accuracy: 0.918519, cls loss: 0.305263, bbox loss: 0.070710,Landmark loss :0.060932,L2 loss: 0.017033, Total Loss: 0.388117 ,lr:0.001000 
2019-03-19 22:15:40.436320 : Step: 6100/111690, accuracy: 0.904412, cls loss: 0.319878, bbox loss: 0.074815,Landmark loss :0.070831,L2 loss: 0.017040, Total Loss: 0.409740 ,lr:0.001000 
2019-03-19 22:15:53.956743 : Step: 6200/111690, accuracy: 0.922509, cls loss: 0.263311, bbox loss: 0.079843,Landmark loss :0.060483,L2 loss: 0.017052, Total Loss: 0.350526 ,lr:0.001000 
2019-03-19 22:16:07.696260 : Step: 6300/111690, accuracy: 0.924000, cls loss: 0.334078, bbox loss: 0.073625,Landmark loss :0.067729,L2 loss: 0.017060, Total Loss: 0.421815 ,lr:0.001000 
2019-03-19 22:16:21.892648 : Step: 6400/111690, accuracy: 0.849817, cls loss: 0.405201, bbox loss: 0.068461,Landmark loss :0.062510,L2 loss: 0.017065, Total Loss: 0.487752 ,lr:0.001000 
2019-03-19 22:16:36.048176 : Step: 6500/111690, accuracy: 0.915385, cls loss: 0.259301, bbox loss: 0.070542,Landmark loss :0.078027,L2 loss: 0.017084, Total Loss: 0.350669 ,lr:0.001000 
2019-03-19 22:16:49.876277 : Step: 6600/111690, accuracy: 0.875486, cls loss: 0.331826, bbox loss: 0.072510,Landmark loss :0.073394,L2 loss: 0.017084, Total Loss: 0.421861 ,lr:0.001000 
2019-03-19 22:17:04.048891 : Step: 6700/111690, accuracy: 0.880597, cls loss: 0.353478, bbox loss: 0.062005,Landmark loss :0.049021,L2 loss: 0.017089, Total Loss: 0.426080 ,lr:0.001000 
2019-03-19 22:17:18.581652 : Step: 6800/111690, accuracy: 0.920000, cls loss: 0.310334, bbox loss: 0.068807,Landmark loss :0.066736,L2 loss: 0.017090, Total Loss: 0.395195 ,lr:0.001000 
2019-03-19 22:17:32.263183 : Step: 6900/111690, accuracy: 0.919708, cls loss: 0.311618, bbox loss: 0.077861,Landmark loss :0.057933,L2 loss: 0.017099, Total Loss: 0.396615 ,lr:0.001000 
2019-03-19 22:17:46.055783 : Step: 7000/111690, accuracy: 0.925373, cls loss: 0.289967, bbox loss: 0.078411,Landmark loss :0.061756,L2 loss: 0.017112, Total Loss: 0.377162 ,lr:0.001000 
2019-03-19 22:17:59.869863 : Step: 7100/111690, accuracy: 0.934109, cls loss: 0.258417, bbox loss: 0.068868,Landmark loss :0.076080,L2 loss: 0.017122, Total Loss: 0.348012 ,lr:0.001000 
2019-03-19 22:18:13.871524 : Step: 7200/111690, accuracy: 0.935606, cls loss: 0.242911, bbox loss: 0.082017,Landmark loss :0.054157,L2 loss: 0.017119, Total Loss: 0.328117 ,lr:0.001000 
2019-03-19 22:18:27.702099 : Step: 7300/111690, accuracy: 0.926199, cls loss: 0.265443, bbox loss: 0.072051,Landmark loss :0.055902,L2 loss: 0.017122, Total Loss: 0.346542 ,lr:0.001000 
2019-03-19 22:18:41.476118 : Step: 7400/111690, accuracy: 0.919708, cls loss: 0.301400, bbox loss: 0.068356,Landmark loss :0.043643,L2 loss: 0.017122, Total Loss: 0.374522 ,lr:0.001000 
path prefix is :../data/MTCNN_model/PNet_landmark/PNet-2
2019-03-19 22:18:55.768599 : Step: 7500/111690, accuracy: 0.928571, cls loss: 0.328859, bbox loss: 0.080222,Landmark loss :0.059104,L2 loss: 0.017121, Total Loss: 0.415644 ,lr:0.001000 
2019-03-19 22:19:09.308529 : Step: 7600/111690, accuracy: 0.925490, cls loss: 0.328716, bbox loss: 0.077772,Landmark loss :0.064857,L2 loss: 0.017137, Total Loss: 0.417168 ,lr:0.001000 
2019-03-19 22:19:22.628841 : Step: 7700/111690, accuracy: 0.942529, cls loss: 0.227523, bbox loss: 0.075828,Landmark loss :0.072935,L2 loss: 0.017146, Total Loss: 0.319050 ,lr:0.001000 
2019-03-19 22:19:36.461987 : Step: 7800/111690, accuracy: 0.927007, cls loss: 0.319699, bbox loss: 0.057255,Landmark loss :0.060372,L2 loss: 0.017145, Total Loss: 0.395658 ,lr:0.001000 
2019-03-19 22:19:50.182561 : Step: 7900/111690, accuracy: 0.890152, cls loss: 0.445204, bbox loss: 0.081703,Landmark loss :0.055415,L2 loss: 0.017139, Total Loss: 0.530902 ,lr:0.001000 
2019-03-19 22:20:03.624960 : Step: 8000/111690, accuracy: 0.929889, cls loss: 0.341486, bbox loss: 0.078518,Landmark loss :0.066249,L2 loss: 0.017144, Total Loss: 0.431014 ,lr:0.001000 
2019-03-19 22:20:17.185505 : Step: 8100/111690, accuracy: 0.898876, cls loss: 0.399236, bbox loss: 0.067892,Landmark loss :0.047660,L2 loss: 0.017156, Total Loss: 0.474168 ,lr:0.001000 
2019-03-19 22:20:30.866428 : Step: 8200/111690, accuracy: 0.886179, cls loss: 0.356022, bbox loss: 0.087932,Landmark loss :0.064164,L2 loss: 0.017160, Total Loss: 0.449230 ,lr:0.001000 
2019-03-19 22:20:44.615594 : Step: 8300/111690, accuracy: 0.914498, cls loss: 0.294458, bbox loss: 0.070929,Landmark loss :0.061424,L2 loss: 0.017155, Total Loss: 0.377789 ,lr:0.001000 
2019-03-19 22:20:58.093546 : Step: 8400/111690, accuracy: 0.924303, cls loss: 0.282427, bbox loss: 0.075261,Landmark loss :0.064534,L2 loss: 0.017165, Total Loss: 0.369490 ,lr:0.001000 
