2019-04-05 19:02:39.843592 : Step: 6100/93639, accuracy: 0.949219, cls loss: 0.174867, bbox loss: 0.073998,Landmark loss :0.026715,L2 loss: 0.048310, Total Loss: 0.286891 ,lr:0.001000 
2019-04-05 19:10:31.396453 : Step: 6200/93639, accuracy: 0.945312, cls loss: 0.194958, bbox loss: 0.063780,Landmark loss :0.024829,L2 loss: 0.048278, Total Loss: 0.299955 ,lr:0.001000 
2019-04-05 19:18:16.567522 : Step: 6300/93639, accuracy: 0.937500, cls loss: 0.180499, bbox loss: 0.076866,Landmark loss :0.021007,L2 loss: 0.048249, Total Loss: 0.288188 ,lr:0.001000 
2019-04-05 19:25:40.963865 : Step: 6400/93639, accuracy: 0.953125, cls loss: 0.176210, bbox loss: 0.076672,Landmark loss :0.025622,L2 loss: 0.048219, Total Loss: 0.288388 ,lr:0.001000 
2019-04-05 19:32:49.281840 : Step: 6500/93639, accuracy: 0.964844, cls loss: 0.114070, bbox loss: 0.067635,Landmark loss :0.024097,L2 loss: 0.048184, Total Loss: 0.220169 ,lr:0.001000 
2019-04-05 19:39:56.743063 : Step: 6600/93639, accuracy: 0.964844, cls loss: 0.146672, bbox loss: 0.074714,Landmark loss :0.022492,L2 loss: 0.048156, Total Loss: 0.254677 ,lr:0.001000 
2019-04-05 19:47:05.655528 : Step: 6700/93639, accuracy: 0.945312, cls loss: 0.195680, bbox loss: 0.071732,Landmark loss :0.026663,L2 loss: 0.048129, Total Loss: 0.306337 ,lr:0.001000 
2019-04-05 19:54:13.819560 : Step: 6800/93639, accuracy: 0.976562, cls loss: 0.114932, bbox loss: 0.073783,Landmark loss :0.028966,L2 loss: 0.048098, Total Loss: 0.228887 ,lr:0.001000 
2019-04-05 20:01:26.966822 : Step: 6900/93639, accuracy: 0.949219, cls loss: 0.224232, bbox loss: 0.066294,Landmark loss :0.027984,L2 loss: 0.048069, Total Loss: 0.333432 ,lr:0.001000 
2019-04-05 20:08:41.487080 : Step: 7000/93639, accuracy: 0.953125, cls loss: 0.139479, bbox loss: 0.062309,Landmark loss :0.023473,L2 loss: 0.048041, Total Loss: 0.242148 ,lr:0.001000 
2019-04-05 20:15:48.670334 : Step: 7100/93639, accuracy: 0.949219, cls loss: 0.166872, bbox loss: 0.081504,Landmark loss :0.026374,L2 loss: 0.048007, Total Loss: 0.282006 ,lr:0.001000 
2019-04-05 20:23:42.351136 : Step: 7200/93639, accuracy: 0.964844, cls loss: 0.157777, bbox loss: 0.084763,Landmark loss :0.021941,L2 loss: 0.047973, Total Loss: 0.270073 ,lr:0.001000 
2019-04-05 20:30:49.708107 : Step: 7300/93639, accuracy: 0.964844, cls loss: 0.090591, bbox loss: 0.091771,Landmark loss :0.021300,L2 loss: 0.047946, Total Loss: 0.205722 ,lr:0.001000 
2019-04-05 20:37:56.680671 : Step: 7400/93639, accuracy: 0.949219, cls loss: 0.238286, bbox loss: 0.077451,Landmark loss :0.023669,L2 loss: 0.047919, Total Loss: 0.348600 ,lr:0.001000 
2019-04-05 20:45:56.298980 : Step: 7500/93639, accuracy: 0.953125, cls loss: 0.175549, bbox loss: 0.076022,Landmark loss :0.021945,L2 loss: 0.047886, Total Loss: 0.283391 ,lr:0.001000 
2019-04-05 20:53:32.326516 : Step: 7600/93639, accuracy: 0.968750, cls loss: 0.154358, bbox loss: 0.101020,Landmark loss :0.025041,L2 loss: 0.047860, Total Loss: 0.277769 ,lr:0.001000 
2019-04-05 21:00:52.879769 : Step: 7700/93639, accuracy: 0.949219, cls loss: 0.210407, bbox loss: 0.069731,Landmark loss :0.024318,L2 loss: 0.047830, Total Loss: 0.317420 ,lr:0.001000 
2019-04-05 21:08:09.813160 : Step: 7800/93639, accuracy: 0.976562, cls loss: 0.115262, bbox loss: 0.075766,Landmark loss :0.021998,L2 loss: 0.047801, Total Loss: 0.222944 ,lr:0.001000 
2019-04-05 21:15:27.662832 : Step: 7900/93639, accuracy: 0.964844, cls loss: 0.176193, bbox loss: 0.071238,Landmark loss :0.019083,L2 loss: 0.047771, Total Loss: 0.278666 ,lr:0.001000 
2019-04-05 21:22:44.809318 : Step: 8000/93639, accuracy: 0.953125, cls loss: 0.188605, bbox loss: 0.085876,Landmark loss :0.031305,L2 loss: 0.047741, Total Loss: 0.310589 ,lr:0.001000 
2019-04-05 21:30:01.638680 : Step: 8100/93639, accuracy: 0.960938, cls loss: 0.159956, bbox loss: 0.074864,Landmark loss :0.029241,L2 loss: 0.047711, Total Loss: 0.274341 ,lr:0.001000 
2019-04-05 21:37:18.493991 : Step: 8200/93639, accuracy: 0.957031, cls loss: 0.184339, bbox loss: 0.079951,Landmark loss :0.025898,L2 loss: 0.047681, Total Loss: 0.297894 ,lr:0.001000 
2019-04-05 21:44:35.833454 : Step: 8300/93639, accuracy: 0.960938, cls loss: 0.158598, bbox loss: 0.077314,Landmark loss :0.023425,L2 loss: 0.047651, Total Loss: 0.268330 ,lr:0.001000 
2019-04-05 21:51:54.505269 : Step: 8400/93639, accuracy: 0.960938, cls loss: 0.160763, bbox loss: 0.088183,Landmark loss :0.024151,L2 loss: 0.047618, Total Loss: 0.276623 ,lr:0.001000 
path prefix is :../data/MTCNN_model/ONet_landmark/ONet-2
2019-04-06 11:55:21.888548 : Step: 8500/93580, accuracy: 0.980469, cls loss: 0.096292, bbox loss: 0.076039,Landmark loss :0.022971,L2 loss: 0.047568, Total Loss: 0.204851 ,lr:0.001000 
2019-04-06 12:04:27.922316 : Step: 8600/93580, accuracy: 0.964844, cls loss: 0.139708, bbox loss: 0.080641,Landmark loss :0.020977,L2 loss: 0.047535, Total Loss: 0.248540 ,lr:0.001000 
2019-04-06 12:13:42.961524 : Step: 8700/93580, accuracy: 0.945312, cls loss: 0.179874, bbox loss: 0.080912,Landmark loss :0.023637,L2 loss: 0.047508, Total Loss: 0.291476 ,lr:0.001000 
2019-04-06 12:22:48.643679 : Step: 8800/93580, accuracy: 0.957031, cls loss: 0.176076, bbox loss: 0.083314,Landmark loss :0.021569,L2 loss: 0.047478, Total Loss: 0.286780 ,lr:0.001000 
2019-04-06 12:31:55.499948 : Step: 8900/93580, accuracy: 0.968750, cls loss: 0.145824, bbox loss: 0.059943,Landmark loss :0.020983,L2 loss: 0.047448, Total Loss: 0.244227 ,lr:0.001000 
2019-04-06 12:41:09.519501 : Step: 9000/93580, accuracy: 0.964844, cls loss: 0.171904, bbox loss: 0.065257,Landmark loss :0.024707,L2 loss: 0.047416, Total Loss: 0.276656 ,lr:0.001000 
2019-04-06 12:50:11.899566 : Step: 9100/93580, accuracy: 0.949219, cls loss: 0.173791, bbox loss: 0.088215,Landmark loss :0.020895,L2 loss: 0.047383, Total Loss: 0.286176 ,lr:0.001000 
2019-04-06 12:57:49.059916 : Step: 9200/93580, accuracy: 0.957031, cls loss: 0.197731, bbox loss: 0.086541,Landmark loss :0.023043,L2 loss: 0.047360, Total Loss: 0.311404 ,lr:0.001000 
2019-04-06 13:04:38.107301 : Step: 9300/93580, accuracy: 0.949219, cls loss: 0.178752, bbox loss: 0.088419,Landmark loss :0.017916,L2 loss: 0.047326, Total Loss: 0.288204 ,lr:0.001000 
