path prefix is :../data/MTCNN_model/RNet_Landmark/RNet-1
2019-03-24 21:01:31.027756 : Step: 4900/106546, accuracy: 0.902344, cls loss: 0.352841, bbox loss: 0.079883,Landmark loss :0.040827,L2 loss: 0.024454, Total Loss: 0.437651 ,lr:0.001000 
2019-03-24 21:02:42.961681 : Step: 5000/106546, accuracy: 0.902344, cls loss: 0.373290, bbox loss: 0.101929,Landmark loss :0.051846,L2 loss: 0.024476, Total Loss: 0.474654 ,lr:0.001000 
2019-03-24 21:03:54.867200 : Step: 5100/106546, accuracy: 0.910156, cls loss: 0.331915, bbox loss: 0.117851,Landmark loss :0.048534,L2 loss: 0.024499, Total Loss: 0.439606 ,lr:0.001000 
2019-03-24 21:05:06.835868 : Step: 5200/106546, accuracy: 0.914062, cls loss: 0.344961, bbox loss: 0.111040,Landmark loss :0.050223,L2 loss: 0.024520, Total Loss: 0.450113 ,lr:0.001000 
2019-03-24 21:06:18.810349 : Step: 5300/106546, accuracy: 0.917969, cls loss: 0.321910, bbox loss: 0.099364,Landmark loss :0.049913,L2 loss: 0.024543, Total Loss: 0.421091 ,lr:0.001000 
2019-03-24 21:07:32.506303 : Step: 5400/106546, accuracy: 0.898438, cls loss: 0.367748, bbox loss: 0.093628,Landmark loss :0.046819,L2 loss: 0.024556, Total Loss: 0.462528 ,lr:0.001000 
2019-03-24 21:08:58.288254 : Step: 5500/106546, accuracy: 0.914062, cls loss: 0.310989, bbox loss: 0.082973,Landmark loss :0.044614,L2 loss: 0.024581, Total Loss: 0.399363 ,lr:0.001000 
2019-03-24 21:10:39.285091 : Step: 5600/106546, accuracy: 0.898438, cls loss: 0.370403, bbox loss: 0.099353,Landmark loss :0.039672,L2 loss: 0.024597, Total Loss: 0.464512 ,lr:0.001000 
2019-03-24 21:12:20.321633 : Step: 5700/106546, accuracy: 0.898438, cls loss: 0.346965, bbox loss: 0.085959,Landmark loss :0.038377,L2 loss: 0.024617, Total Loss: 0.433750 ,lr:0.001000 
2019-03-24 21:14:04.199872 : Step: 5800/106546, accuracy: 0.855469, cls loss: 0.431861, bbox loss: 0.097310,Landmark loss :0.041293,L2 loss: 0.024634, Total Loss: 0.525796 ,lr:0.001000 
2019-03-24 21:15:48.134340 : Step: 5900/106546, accuracy: 0.937500, cls loss: 0.271123, bbox loss: 0.087953,Landmark loss :0.042141,L2 loss: 0.024652, Total Loss: 0.360822 ,lr:0.001000 
2019-03-24 21:17:28.378937 : Step: 6000/106546, accuracy: 0.917969, cls loss: 0.337900, bbox loss: 0.085995,Landmark loss :0.045036,L2 loss: 0.024666, Total Loss: 0.428082 ,lr:0.001000 
2019-03-24 21:19:10.350902 : Step: 6100/106546, accuracy: 0.898438, cls loss: 0.318186, bbox loss: 0.084497,Landmark loss :0.044857,L2 loss: 0.024691, Total Loss: 0.407554 ,lr:0.001000 
2019-03-24 21:20:53.342396 : Step: 6200/106546, accuracy: 0.914062, cls loss: 0.292255, bbox loss: 0.095413,Landmark loss :0.046166,L2 loss: 0.024699, Total Loss: 0.387744 ,lr:0.001000 
2019-03-24 21:22:35.896918 : Step: 6300/106546, accuracy: 0.917969, cls loss: 0.302088, bbox loss: 0.103108,Landmark loss :0.046040,L2 loss: 0.024710, Total Loss: 0.401373 ,lr:0.001000 
2019-03-24 21:24:19.203318 : Step: 6400/106546, accuracy: 0.921875, cls loss: 0.374267, bbox loss: 0.082668,Landmark loss :0.052737,L2 loss: 0.024722, Total Loss: 0.466692 ,lr:0.001000 
2019-03-24 21:26:04.341346 : Step: 6500/106546, accuracy: 0.902344, cls loss: 0.288094, bbox loss: 0.092700,Landmark loss :0.042755,L2 loss: 0.024731, Total Loss: 0.380553 ,lr:0.001000 
2019-03-24 21:27:49.881770 : Step: 6600/106546, accuracy: 0.902344, cls loss: 0.327198, bbox loss: 0.090159,Landmark loss :0.041390,L2 loss: 0.024740, Total Loss: 0.417713 ,lr:0.001000 
